row_id,segment_id,segment_name
0,2,Photo-forward users
1,2,Photo-forward users
2,2,Photo-forward users
3,0,High-like receivers
4,0,High-like receivers
5,2,Photo-forward users
6,0,High-like receivers
7,2,Photo-forward users
8,0,High-like receivers
9,2,Photo-forward users
10,2,Photo-forward users
11,2,Photo-forward users
12,1,Low-emoji texters
13,0,High-like receivers
14,0,High-like receivers
15,2,Photo-forward users
16,2,Photo-forward users
17,2,Photo-forward users
18,2,Photo-forward users
19,2,Photo-forward users
20,2,Photo-forward users
21,2,Photo-forward users
22,2,Photo-forward users
23,2,Photo-forward users
24,1,Low-emoji texters
25,0,High-like receivers
26,2,Photo-forward users
27,2,Photo-forward users
28,1,Low-emoji texters
29,2,Photo-forward users
30,0,High-like receivers
31,0,High-like receivers
32,2,Photo-forward users
33,1,Low-emoji texters
34,2,Photo-forward users
35,1,Low-emoji texters
36,1,Low-emoji texters
37,0,High-like receivers
38,2,Photo-forward users
39,0,High-like receivers
40,2,Photo-forward users
41,2,Photo-forward users
42,2,Photo-forward users
43,2,Photo-forward users
44,2,Photo-forward users
45,1,Low-emoji texters
46,1,Low-emoji texters
47,0,High-like receivers
48,2,Photo-forward users
49,0,High-like receivers
50,2,Photo-forward users
51,2,Photo-forward users
52,2,Photo-forward users
53,2,Photo-forward users
54,0,High-like receivers
55,1,Low-emoji texters
56,0,High-like receivers
57,1,Low-emoji texters
58,2,Photo-forward users
59,0,High-like receivers
60,2,Photo-forward users
61,1,Low-emoji texters
62,2,Photo-forward users
63,1,Low-emoji texters
64,0,High-like receivers
65,0,High-like receivers
66,2,Photo-forward users
67,0,High-like receivers
68,2,Photo-forward users
69,2,Photo-forward users
70,2,Photo-forward users
71,1,Low-emoji texters
72,0,High-like receivers
73,0,High-like receivers
74,2,Photo-forward users
75,2,Photo-forward users
76,2,Photo-forward users
77,0,High-like receivers
78,1,Low-emoji texters
79,1,Low-emoji texters
80,2,Photo-forward users
81,2,Photo-forward users
82,0,High-like receivers
83,1,Low-emoji texters
84,0,High-like receivers
85,0,High-like receivers
86,2,Photo-forward users
87,2,Photo-forward users
88,1,Low-emoji texters
89,2,Photo-forward users
90,2,Photo-forward users
91,0,High-like receivers
92,1,Low-emoji texters
93,2,Photo-forward users
94,2,Photo-forward users
95,0,High-like receivers
96,2,Photo-forward users
97,2,Photo-forward users
98,2,Photo-forward users
99,0,High-like receivers
100,2,Photo-forward users
101,0,High-like receivers
102,0,High-like receivers
103,2,Photo-forward users
104,2,Photo-forward users
105,1,Low-emoji texters
106,2,Photo-forward users
107,0,High-like receivers
108,2,Photo-forward users
109,0,High-like receivers
110,2,Photo-forward users
111,2,Photo-forward users
112,0,High-like receivers
113,2,Photo-forward users
114,2,Photo-forward users
115,2,Photo-forward users
116,2,Photo-forward users
117,0,High-like receivers
118,2,Photo-forward users
119,2,Photo-forward users
120,1,Low-emoji texters
121,2,Photo-forward users
122,2,Photo-forward users
123,1,Low-emoji texters
124,2,Photo-forward users
125,2,Photo-forward users
126,0,High-like receivers
127,2,Photo-forward users
128,0,High-like receivers
129,1,Low-emoji texters
130,2,Photo-forward users
131,2,Photo-forward users
132,2,Photo-forward users
133,0,High-like receivers
134,0,High-like receivers
135,2,Photo-forward users
136,1,Low-emoji texters
137,2,Photo-forward users
138,1,Low-emoji texters
139,2,Photo-forward users
140,2,Photo-forward users
141,0,High-like receivers
142,2,Photo-forward users
143,0,High-like receivers
144,2,Photo-forward users
145,2,Photo-forward users
146,0,High-like receivers
147,0,High-like receivers
148,1,Low-emoji texters
149,2,Photo-forward users
150,2,Photo-forward users
151,0,High-like receivers
152,2,Photo-forward users
153,2,Photo-forward users
154,2,Photo-forward users
155,0,High-like receivers
156,0,High-like receivers
157,2,Photo-forward users
158,0,High-like receivers
159,2,Photo-forward users
160,1,Low-emoji texters
161,1,Low-emoji texters
162,2,Photo-forward users
163,2,Photo-forward users
164,0,High-like receivers
165,2,Photo-forward users
166,1,Low-emoji texters
167,2,Photo-forward users
168,2,Photo-forward users
169,1,Low-emoji texters
170,2,Photo-forward users
171,1,Low-emoji texters
172,2,Photo-forward users
173,2,Photo-forward users
174,2,Photo-forward users
175,0,High-like receivers
176,2,Photo-forward users
177,0,High-like receivers
178,2,Photo-forward users
179,1,Low-emoji texters
180,2,Photo-forward users
181,2,Photo-forward users
182,0,High-like receivers
183,2,Photo-forward users
184,2,Photo-forward users
185,2,Photo-forward users
186,1,Low-emoji texters
187,2,Photo-forward users
188,0,High-like receivers
189,2,Photo-forward users
190,0,High-like receivers
191,2,Photo-forward users
192,1,Low-emoji texters
193,0,High-like receivers
194,1,Low-emoji texters
195,1,Low-emoji texters
196,2,Photo-forward users
197,2,Photo-forward users
198,2,Photo-forward users
199,2,Photo-forward users
200,2,Photo-forward users
201,2,Photo-forward users
202,0,High-like receivers
203,2,Photo-forward users
204,1,Low-emoji texters
205,1,Low-emoji texters
206,2,Photo-forward users
207,2,Photo-forward users
208,1,Low-emoji texters
209,2,Photo-forward users
210,1,Low-emoji texters
211,2,Photo-forward users
212,0,High-like receivers
213,2,Photo-forward users
214,0,High-like receivers
215,2,Photo-forward users
216,0,High-like receivers
217,0,High-like receivers
218,2,Photo-forward users
219,2,Photo-forward users
220,0,High-like receivers
221,2,Photo-forward users
222,0,High-like receivers
223,0,High-like receivers
224,1,Low-emoji texters
225,2,Photo-forward users
226,2,Photo-forward users
227,1,Low-emoji texters
228,2,Photo-forward users
229,0,High-like receivers
230,0,High-like receivers
231,2,Photo-forward users
232,1,Low-emoji texters
233,2,Photo-forward users
234,2,Photo-forward users
235,2,Photo-forward users
236,2,Photo-forward users
237,1,Low-emoji texters
238,2,Photo-forward users
239,0,High-like receivers
240,2,Photo-forward users
241,1,Low-emoji texters
242,0,High-like receivers
243,0,High-like receivers
244,2,Photo-forward users
245,2,Photo-forward users
246,2,Photo-forward users
247,2,Photo-forward users
248,0,High-like receivers
249,2,Photo-forward users
250,0,High-like receivers
251,0,High-like receivers
252,1,Low-emoji texters
253,2,Photo-forward users
254,1,Low-emoji texters
255,2,Photo-forward users
256,0,High-like receivers
257,2,Photo-forward users
