feature name,dtype,missing count (%),unique count,min/max or top categories,invalid values found (yes/no),outlier count (IQR rule for numeric)
gender,object,0 (0.00%),6,"Female (8384), Non-binary (8366), Transgender (8353)",no,
sexual_orientation,object,0 (0.00%),8,"Straight (6326), Lesbian (6315), Demisexual (6301)",no,
location_type,object,0 (0.00%),6,"Remote Area (8519), Small Town (8343), Rural (8331)",no,
income_bracket,object,0 (0.00%),7,"High (7309), Very High (7178), Low (7132)",no,
education_level,object,0 (0.00%),9,"Bachelor’s (5646), MBA (5637), High School (5632)",no,
interest_tags,object,0 (0.00%),40206,"Fitness, Anime, Yoga (6), Yoga, Astrology, Photography (5), History, Sneaker Culture, Meditation (5)",no,
app_usage_time_min,int64,0 (0.00%),301,"min=0.000, max=300.000",no,0
app_usage_time_label,object,0 (0.00%),7,"Extreme User (20140), High (9911), Addicted (9909)",no,
swipe_right_ratio,float64,0 (0.00%),101,"min=0.000, max=1.000",no,0
swipe_right_label,object,0 (0.00%),4,"Optimistic (26873), Balanced (11730), Swipe Maniac (8276)",no,
likes_received,int64,0 (0.00%),201,"min=0.000, max=200.000",no,0
mutual_matches,int64,0 (0.00%),31,"min=0.000, max=30.000",no,0
profile_pics_count,int64,0 (0.00%),7,"min=0.000, max=6.000",no,0
bio_length,int64,0 (0.00%),501,"min=0.000, max=500.000",no,0
message_sent_count,int64,0 (0.00%),101,"min=0.000, max=100.000",no,0
emoji_usage_rate,float64,0 (0.00%),93,"min=0.000, max=0.940",no,311
last_active_hour,int64,0 (0.00%),24,"min=0.000, max=23.000",no,0
swipe_time_of_day,object,0 (0.00%),6,"After Midnight (8524), Afternoon (8344), Early Morning (8320)",no,
match_outcome,object,0 (0.00%),10,"One-sided Like (5112), Instant Match (5078), Blocked (5049)",no,
age,int64,0 (0.00%),42,"min=18.000, max=59.000",no,0
height_cm,int64,0 (0.00%),56,"min=145.000, max=200.000",no,0
weight_kg,float64,0 (0.00%),769,"min=37.800, max=120.000",no,0
zodiac_sign,object,0 (0.00%),12,"Gemini (4278), Virgo (4254), Libra (4237)",no,
body_type,object,0 (0.00%),6,"Slim (8465), Curvy (8415), Average (8358)",no,
relationship_intent,object,0 (0.00%),6,"Serious Relationship (8469), Exploring (8396), Networking (8351)",no,
