setting,model,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_rmse_mean
official safe,Dummy mean,-2.4622723061214675e-05,1.7594405033577927e-05,7.935978157552083,9.125428612257545
official safe,Ridge,-0.024871691032572956,0.0028729970217790954,7.999316674473583,9.237980400397186
official safe,ElasticNet,-0.024274854449022998,0.0028126504660509295,7.997799116527709,9.235293490742807
official safe,Poisson,-0.021672001912586298,0.0026042749027717855,7.990815794304178,9.223566653452865
official safe,Random Forest,-0.02400892069884808,0.002604189824333872,7.996849438102355,9.234163002369323
official safe,Gradient Boosting,-0.004648582621136803,0.0015408583728313498,7.948988186520819,9.146552708677838
official safe,Hist Gradient Boosting,-0.01697376873394507,0.0006821343611920253,7.990302223936701,9.202464688318498
official safe,XGBoost,-0.005426533398382431,0.00015605730103579343,7.95189643085003,9.150048981814566
with paired target,Dummy mean,-2.4622723061214675e-05,1.7594405033577927e-05,7.935978157552083,9.125428612257545
with paired target,Ridge,0.012632279940738825,0.008150488205666693,7.8149066112677055,9.067196512218263
with paired target,ElasticNet,0.013194172705922195,0.008096922179726292,7.813701454161212,9.06462002663722
with paired target,Poisson,0.011333276503969647,0.0075521831991932865,7.827638507440287,9.073187497696162
with paired target,Random Forest,0.11624669805181409,0.008125381198673327,7.2097296348417315,8.578179549900872
with paired target,Gradient Boosting,0.12739288418671382,0.003117541328533404,7.199388083072911,8.524108093836938
with paired target,Hist Gradient Boosting,0.1146061926390907,0.006836555798966633,7.232282934275799,8.586110683253095
with paired target,XGBoost,0.1265441552949672,0.003557573678242198,7.205738300743202,8.52823959857884
